n1,n2,source
"1,2-Butanediol-P-F",3-Hexenedioic acid-F-F,FEC-PLS
"1,2-Butanediol-P-F",Acetoacetic acid-F-F,FEC-PLS
"1,2-Butanediol-P-F","Hexonic acid, 3-deoxy-, gamma-lactone-F-F",FEC-PLS
"1,2-Butanediol-P-F",L-(+)-Rhamnopyranose-F-F,FEC-PLS
"1,2-Butanediol-P-F",Levoglucosan-F-F,FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F",L-Hydroxyproline-F-F,FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F","2,5-Dimethoxybenzhydrazide-F-F",FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-F-F",FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F","3,4-Dimethoxymandelic acid-F-F",FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F",4-Coumaric acid-F-F,FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F",l-Leucyl-l-valine-F-F,FEC-PLS
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene-P-F",Pantolactone-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Acetohydroxamic acid-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F","2,3-Butanediol-F-F",FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",2-Amino-4-tert-butylphenol-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",5-Hydroxy-2-methylpyridine-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F","7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione-F-F",FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Acetoacetic acid-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Cyclohexanemethanol-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Hydroquinone-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",L-Valyl-L-leucine-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Pantolactone-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Propanedioic acid-F-F,FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F","Propanoic acid, 2-methyl-, hexyl ester-F-F",FEC-PLS
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane-P-F",Stearic acid-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F","2-Pentenedioic acid, 2-hydroxy--F-F",FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",3-Oxo-1-cyclohexene-1-carboxylic acid-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",3-Pyridylcarbinol-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",alpha-D-Xylopyranose-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F","cis-4,5-Dihydroxy-o-dithiane-F-F",FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",Kojic acid-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",L-Aspartic acid-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",L-Rhamnose-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",L-Threonine-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F","L-Valinamide, N(2),N(2)-dimethyl-F-F",FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",N-Acetyl-L-phenylalanine-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",N-Methyl-L-proline-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",Phenol-F-F,FEC-PLS
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene-P-F",Pyridoxine-F-F,FEC-PLS
