DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
23.82958488643099,23.53191592986123,23.674356384455788,23.953297105679837,23.484143310267747,23.674356384455788,24.059471680211118,23.616437364521392,23.71999917837554,23.870386627878066,23.584213588252027,23.53191592986123,23.920579189958964,23.870386627878066
,,,,23.82958488643099,,,,20.437043584347983,,,,,
,,,,,,,,,,,,,
,24.69908251133796,,,,,,,,,,,,
15.684213392506413,,,,,17.848056725654924,,18.145516841146943,20.159049269761585,18.816900848646988,,15.267001008214582,20.349076790547734,17.605330159289814
36.988835603124244,33.78547332532239,36.317196840651846,36.317196840651846,36.317196840651846,36.317196840651846,33.78547332532239,36.317196840651846,36.317196840651846,36.317196840651846,33.78547332532239,32.65987336076064,33.78547332532239,36.317196840651846
24.13416838153767,23.920579189958964,,24.854862067442433,24.241680361020343,23.072538359028545,23.674356384455788,23.77270330773383,22.92787490413422,24.187462616991436,21.89766089201072,23.674356384455788,23.53191592986123,24.617441356369007
23.99000942053065,24.617441356369007,23.584213588252027,23.99000942053065,24.304911461865277,24.241680361020343,24.617441356369007,24.69908251133796,24.419963405671634,25.792817913981178,24.241680361020343,24.059471680211118,25.140663431027427,24.419963405671634
17.420656950089175,13.487298878543296,14.6579166018199,15.684213392506413,10.589741767314072,,14.6579166018199,,11.999708944648896,14.44344997303848,13.783405868376022,16.027442504336406,14.22183651652919,12.340219003345359
,,,,,,,,,,,,,
18.145516841146943,,,19.044780457273152,17.605330159289814,24.617441356369007,,,22.81629933915454,23.222075930761207,,24.791158461587774,,
,14.77794148459306,15.794924887690241,15.925482683255618,,,,,8.64390924178897,13.17498269461429,11.053448878828174,10.589741767314072,13.783405868376022,12.73466395698144
30.942609521468622,30.942609521468622,32.65987336076064,30.172391027732196,31.21036514314471,30.942609521468622,29.976899253025323,31.21036514314471,30.370043719919497,30.942609521468622,29.976899253025323,30.573336989554633,30.370043719919497,30.942609521468622
,,,22.176682287677355,,,,,,,,,,
18.697253042531315,17.917954706335404,18.40008695193352,18.816900848646988,17.313901308851932,18.299161313868307,19.311341046599278,18.816900848646988,18.206837600992994,19.044780457273152,18.299161313868307,19.12715709241501,18.697253042531315,18.76637914203081
19.192546564593975,18.47862430573336,19.12715709241501,19.977070348849676,18.527065735233002,18.572420897099427,18.527065735233002,18.40008695193352,13.019379474962212,17.848056725654924,17.420656950089175,18.47862430573336,17.848056725654924,17.917954706335404
,,,,,,,,,,,,,
,,,,,,,25.792817913981178,,,,,,
,,,,,,,,,,,,,
36.317196840651846,36.988835603124244,36.988835603124244,36.988835603124244,36.988835603124244,36.988835603124244,36.317196840651846,36.988835603124244,36.988835603124244,36.988835603124244,36.317196840651846,36.988835603124244,36.317196840651846,36.988835603124244
21.49512426745769,21.49512426745769,21.811268708817973,22.430766960994436,21.63965483051689,22.017772579784815,21.70761198277439,22.017772579784815,21.811268708817973,22.262186034564476,21.49512426745769,21.89766089201072,22.176682287677355,21.9535073039897
,,,,,,,,,,,,,
,,,,22.176682287677355,20.437043584347983,,,21.89766089201072,,,,22.991190162689342,
,16.649394651426014,,,,18.816900848646988,,20.53009211757007,21.36156896985457,,16.78619280811605,18.994720196960333,,
23.35257549176473,23.99000942053065,23.616437364521392,22.76118107855382,23.870386627878066,24.059471680211118,24.791158461587774,23.674356384455788,23.674356384455788,24.059471680211118,23.674356384455788,23.953297105679837,23.82958488643099,23.953297105679837
15.39656988471546,12.340219003345359,13.783405868376022,14.6579166018199,8.64390924178897,14.91150018039568,15.02985544620005,14.6579166018199,10.589741767314072,14.021419364841742,13.019379474962212,13.17498269461429,14.021419364841742,11.999708944648896
28.139723574834868,27.92524459775121,28.73936053878384,29.43670460039806,28.597049460306497,28.220824986859178,28.022288157553156,28.328763097489578,29.199493510442178,28.328763097489578,28.73936053878384,29.199493510442178,28.863827445577932,29.092836196046683
20.715974098065832,23.35257549176473,23.417291798715073,23.82958488643099,23.222075930761207,22.76118107855382,21.03415127487163,23.072538359028545,14.44344997303848,20.239280036683237,19.12715709241501,23.99000942053065,23.77270330773383,23.35257549176473
28.73936053878384,28.863827445577932,28.504702814838293,29.754289059653733,28.863827445577932,28.863827445577932,29.199493510442178,29.199493510442178,30.172391027732196,28.863827445577932,29.199493510442178,28.863827445577932,28.73936053878384,28.863827445577932
16.649394651426014,14.22183651652919,14.91150018039568,14.22183651652919,12.340219003345359,15.925482683255618,15.267001008214582,,13.17498269461429,15.564115838261685,14.22183651652919,13.487298878543296,16.027442504336406,15.02985544620005
25.6563659490016,25.404802973180967,24.952119430962735,25.140663431027427,24.419963405671634,24.952119430962735,25.248245599251963,25.050447238005177,25.6563659490016,25.140663431027427,24.69908251133796,24.952119430962735,24.854862067442433,24.791158461587774
22.176682287677355,22.017772579784815,22.262186034564476,21.89766089201072,21.49512426745769,21.9535073039897,21.811268708817973,21.566275994088834,22.262186034564476,22.10136387655403,21.566275994088834,21.811268708817973,21.70761198277439,21.63965483051689
,0.5989360822462241,4.357485352481382,6.637474595960846,0.05189771597557891,8.959893012120766,,6.033603261326803,,3.515329454763203,0.9266751030624765,,3.026346101989217,2.0053360546098284
29.199493510442178,27.78907181958203,30.370043719919497,30.573336989554633,29.754289059653733,29.976899253025323,30.370043719919497,29.754289059653733,28.139723574834868,30.172391027732196,28.220824986859178,27.706069701939082,29.754289059653733,30.370043719919497
22.336032499821254,23.82958488643099,23.71999917837554,24.187462616991436,23.71999917837554,23.953297105679837,23.77270330773383,23.82958488643099,24.361767611067528,22.81629933915454,23.870386627878066,23.82958488643099,23.71999917837554,23.99000942053065
