node1,node2
Chmp4c__CPX,"2-Butenoic acid, 2-hydroxy-__FEC"
Baiap2l1__CPX,"2-Butenoic acid, 2-hydroxy-__FEC"
Agbl3__CPX,"2-Butenoic acid, 2-hydroxy-__FEC"
Sulf2__CPX,"2-Butenoic acid, 2-hydroxy-__FEC"
Zbtb39__CPX,"2-Butenoic acid, 2-hydroxy-__FEC"
Zfp975__CPX,1-Hexacosene__FEC
Zfp975__CPX,"2,5-Dimethoxyphenol__FEC"
Zfp975__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
Zfp975__CPX,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC"
Zfp975__CPX,3-Hexenedioic acid__FEC
Ppp1r12a__CPX,1-Hexacosene__FEC
Zbtb7a__CPX,1-Hexacosene__FEC
Pebp4__CPX,1-Hexacosene__FEC
Fn3krp__CPX,"2,5-Dimethoxyphenol__FEC"
Fn3krp__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
Hmces__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
Cpxm2__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
Tm9sf3__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
Gsta4__CPX,"2-Allyl-1,4-dimethoxybenzene__FEC"
A930024E05Rik__CPX,"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC"
Zbtb37__CPX,3-Hexenedioic acid__FEC
Fn3krp__CPX,2-Ethylhexanoic acid__FEC
Fn3krp__CPX,pyrazole__FEC
Fn3krp__CPX,beta-Alanine__FEC
Fn3krp__CPX,L-5-Oxoproline__FEC
Fn3krp__CPX,Niacin__FEC
Fn3krp__CPX,Phenol__FEC
Fn3krp__CPX,Syringaldehyde__FEC
Fn3krp__CPX,Urea__FEC
Gm15408__CPX,2-Ethylhexanoic acid__FEC
Cspg5__CPX,2-Ethylhexanoic acid__FEC
