n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
2-Amino-4-methylbenzophenone,L-Glutamic acid,,,0,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.5428571428571429,0.2657026239067055,6,2,False
2-Amino-4-methylbenzophenone,L-Glutamine,0.5,0.6666666666666667,3,-0.8999999999999998,0.0373860734684987,5,0.3077935056255462,0.614384002810333,5,-0.3646464492724877,0.2205704389692134,13,3,False
2-Amino-4-methylbenzophenone,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",-1.0,0.0,3,0.0,1.0,5,0.6668859288553501,0.2188939813132316,5,-0.0138123655027457,0.9642790232988708,13,3,False
2-Amino-4-methylbenzophenone,Lignoceric acid,-0.5,0.6666666666666667,3,-0.7,0.1881204043741872,5,-0.0999999999999999,0.8728885715695383,5,-0.3686385880800887,0.2151771625119694,13,3,True
2-Amino-4-methylbenzophenone,L-Leucine,0.5,0.6666666666666667,3,-0.6668859288553501,0.2188939813132316,5,-0.3,0.6238376647810728,5,-0.3845181853977633,0.1945352883235457,13,3,False
2-Amino-4-methylbenzophenone,L-Lysine,,,0,-0.4999999999999999,0.3910022189557705,5,0.1999999999999999,0.747060078104662,5,-0.270177101741664,0.3957174065534595,12,2,False
2-Amino-4-methylbenzophenone,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",,,0,0.7999999999999999,0.2,4,0.1999999999999999,0.8,4,0.25,0.5164895523012263,9,2,True
2-Amino-4-methylbenzophenone,L-Threonine,,,0,-0.5,0.6666666666666667,3,1.0,0.0,3,0.1428571428571428,0.7871720116618075,6,2,False
2-Amino-4-methylbenzophenone,L-Tryptophan,0.8660254037844387,0.3333333333333332,3,-0.8999999999999998,0.0373860734684987,5,-0.0999999999999999,0.8728885715695383,5,-0.3085411156709888,0.3050453819123563,13,3,False
2-Amino-4-methylbenzophenone,L-Tyrosine,-1.0,0.0,3,-0.6000000000000001,0.3999999999999999,4,0.948683298050514,0.0513167019494861,4,-0.027524094128159,0.9359747496914144,11,3,False
2-Amino-4-methylbenzophenone,L-Valine,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,0.7999999999999999,0.1040880386618278,5,-0.080223218536224,0.794460533847473,13,3,False
2-Amino-4-methylbenzophenone,Malic acid,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.3999999999999999,0.5046315754686911,5,-0.616231669626417,0.024910720020436,13,3,True
2-Amino-4-methylbenzophenone,Methanesulfonic acid,,,0,-0.7,0.1881204043741872,5,-0.4999999999999999,0.3910022189557705,5,-0.5944055944055945,0.0415214944103185,12,2,True
2-Amino-4-methylbenzophenone,Methyl lactate,,,0,-0.3354101966249684,0.5810906728217108,5,0.8999999999999998,0.0373860734684987,5,0.3781131186160175,0.22555394534779,12,2,False
